act,scene,character,dialogue,line_number
Act I,Scene I,Titus Andronicus,The cordial of mine age to glad my heart!,166
Act I,Scene I,Titus Andronicus,"Lavinia, live; outlive thy father's days,",167
Act I,Scene I,Titus Andronicus,"And fame's eternal date, for virtue's praise!",168
Act I,Scene I,[stage direction],"Enter, below, MARCUS ANDRONICUS and Tribunes; re-enter SATURNINUS and BASSIANUS, attended",NA
Act I,Scene I,Marcus Andronicus,"Long live Lord Titus, my beloved brother,",169
Act I,Scene I,Marcus Andronicus,Gracious triumpher in the eyes of Rome!,170
Act I,Scene I,Titus Andronicus,"Thanks, gentle tribune, noble brother Marcus.",171
Act I,Scene I,Marcus Andronicus,"And welcome, nephews, from successful wars,",172
Act I,Scene I,Marcus Andronicus,"You that survive, and you that sleep in fame!",173
Act I,Scene I,Marcus Andronicus,"Fair lords, your fortunes are alike in all,",174
Act I,Scene I,Marcus Andronicus,That in your country's service drew your swords:,175
Act I,Scene I,Marcus Andronicus,"But safer triumph is this funeral pomp,",176
Act I,Scene I,Marcus Andronicus,That hath aspired to Solon's happiness,177
Act I,Scene I,Marcus Andronicus,And triumphs over chance in honour's bed.,178
Act I,Scene I,Marcus Andronicus,"Titus Andronicus, the people of Rome,",179
Act I,Scene I,Marcus Andronicus,"Whose friend in justice thou hast ever been,",180
Act I,Scene I,Marcus Andronicus,"Send thee by me, their tribune and their trust,",181
Act I,Scene I,Marcus Andronicus,This palliament of white and spotless hue;,182
Act I,Scene I,Marcus Andronicus,"And name thee in election for the empire,",183
Act I,Scene I,Marcus Andronicus,With these our late-deceased emperor's sons:,184
Act I,Scene I,Marcus Andronicus,"Be candidatus then, and put it on,",185
Act I,Scene I,Marcus Andronicus,And help to set a head on headless Rome.,186
Act I,Scene I,Titus Andronicus,A better head her glorious body fits,187
Act I,Scene I,Titus Andronicus,Than his that shakes for age and feebleness:,188
Act I,Scene I,Titus Andronicus,"What should I don this robe, and trouble you?",189
Act I,Scene I,Titus Andronicus,"Be chosen with proclamations to-day,",190
Act I,Scene I,Titus Andronicus,"To-morrow yield up rule, resign my life,",191
Act I,Scene I,Titus Andronicus,And set abroad new business for you all?,192
Act I,Scene I,Titus Andronicus,"Rome, I have been thy soldier forty years,",193
Act I,Scene I,Titus Andronicus,"And led my country's strength successfully,",194
Act I,Scene I,Titus Andronicus,"And buried one and twenty valiant sons,",195
Act I,Scene I,Titus Andronicus,"Knighted in field, slain manfully in arms,",196
Act I,Scene I,Titus Andronicus,In right and service of their noble country,197
Act I,Scene I,Titus Andronicus,"Give me a staff of honour for mine age,",198
Act I,Scene I,Titus Andronicus,But not a sceptre to control the world:,199
