act,scene,character,dialogue,line_number
Act I,Scene II,First Merchant,"According to the statute of the town,",164
Act I,Scene II,First Merchant,Dies ere the weary sun set in the west.,165
Act I,Scene II,First Merchant,There is your money that I had to keep.,166
Act I,Scene II,First Merchant,ANTIPHOLUS,167
Act I,Scene II,Of Syracuse,"Go bear it to the Centaur, where we host,",168
Act I,Scene II,Of Syracuse,"And stay there, Dromio, till I come to thee.",169
Act I,Scene II,Of Syracuse,Within this hour it will be dinner-time:,170
Act I,Scene II,Of Syracuse,"Till that, I'll view the manners of the town,",171
Act I,Scene II,Of Syracuse,"Peruse the traders, gaze upon the buildings,",172
Act I,Scene II,Of Syracuse,"And then return and sleep within mine inn,",173
Act I,Scene II,Of Syracuse,For with long travel I am stiff and weary.,174
Act I,Scene II,Of Syracuse,Get thee away.,175
Act I,Scene II,Dromio Of Syracuse,"Many a man would take you at your word,",176
Act I,Scene II,Dromio Of Syracuse,"And go indeed, having so good a mean.",177
Act I,Scene II,[stage direction],Exit,NA
Act I,Scene II,Dromio Of Syracuse,ANTIPHOLUS,178
Act I,Scene II,Of Syracuse,"A trusty villain, sir, that very oft,",179
Act I,Scene II,Of Syracuse,"When I am dull with care and melancholy,",180
Act I,Scene II,Of Syracuse,Lightens my humour with his merry jests.,181
Act I,Scene II,Of Syracuse,"What, will you walk with me about the town,",182
Act I,Scene II,Of Syracuse,And then go to my inn and dine with me?,183
Act I,Scene II,First Merchant,"I am invited, sir, to certain merchants,",184
Act I,Scene II,First Merchant,Of whom I hope to make much benefit;,185
Act I,Scene II,First Merchant,"I crave your pardon. Soon at five o'clock,",186
Act I,Scene II,First Merchant,"Please you, I'll meet with you upon the mart",187
Act I,Scene II,First Merchant,And afterward consort you till bed-time:,188
Act I,Scene II,First Merchant,My present business calls me from you now.,189
Act I,Scene II,First Merchant,ANTIPHOLUS,190
Act I,Scene II,Of Syracuse,Farewell till then: I will go lose myself,191
Act I,Scene II,Of Syracuse,And wander up and down to view the city.,192
Act I,Scene II,First Merchant,"Sir, I commend you to your own content.",193
Act I,Scene II,[stage direction],Exit,NA
Act I,Scene II,First Merchant,ANTIPHOLUS,194
Act I,Scene II,Of Syracuse,He that commends me to mine own content,195
Act I,Scene II,Of Syracuse,Commends me to the thing I cannot get.,196
Act I,Scene II,Of Syracuse,I to the world am like a drop of water,197
Act I,Scene II,Of Syracuse,"That in the ocean seeks another drop,",198
Act I,Scene II,Of Syracuse,"Who, falling there to find his fellow forth,",199
Act I,Scene II,Of Syracuse,"Unseen, inquisitive, confounds himself:",200
Act I,Scene II,Of Syracuse,"So I, to find a mother and a brother,",201
Act I,Scene II,Of Syracuse,"In quest of them, unhappy, lose myself.",202
Act I,Scene II,[stage direction],Enter DROMIO of Ephesus,NA
Act I,Scene II,Of Syracuse,Here comes the almanac of my true date.,203
Act I,Scene II,Of Syracuse,What now? how chance thou art return'd so soon?,204
Act I,Scene II,Dromio Of Ephesus,Return'd so soon! rather approach'd too late:,205
Act I,Scene II,Dromio Of Ephesus,"The capon burns, the pig falls from the spit,",206
Act I,Scene II,Dromio Of Ephesus,The clock hath strucken twelve upon the bell;,207
Act I,Scene II,Dromio Of Ephesus,My mistress made it one upon my cheek:,208
Act I,Scene II,Dromio Of Ephesus,She is so hot because the meat is cold;,209
Act I,Scene II,Dromio Of Ephesus,The meat is cold because you come not home;,210
Act I,Scene II,Dromio Of Ephesus,You come not home because you have no stomach;,211
Act I,Scene II,Dromio Of Ephesus,You have no stomach having broke your fast;,212
Act I,Scene II,Dromio Of Ephesus,But we that know what 'tis to fast and pray,213
Act I,Scene II,Dromio Of Ephesus,Are penitent for your default to-day.,214
Act I,Scene II,Dromio Of Ephesus,ANTIPHOLUS,215
Act I,Scene II,Of Syracuse,"Stop in your wind, sir: tell me this, I pray:",216
Act I,Scene II,Of Syracuse,Where have you left the money that I gave you?,217
Act I,Scene II,Dromio Of Ephesus,"O,--sixpence, that I had o' Wednesday last",218
Act I,Scene II,Dromio Of Ephesus,To pay the saddler for my mistress' crupper?,219
Act I,Scene II,Dromio Of Ephesus,"The saddler had it, sir; I kept it not.",220
Act I,Scene II,Dromio Of Ephesus,ANTIPHOLUS,221
Act I,Scene II,Of Syracuse,I am not in a sportive humour now:,222
Act I,Scene II,Of Syracuse,"Tell me, and dally not, where is the money?",223
Act I,Scene II,Of Syracuse,"We being strangers here, how darest thou trust",224
Act I,Scene II,Of Syracuse,So great a charge from thine own custody?,225
Act I,Scene II,Dromio Of Ephesus,"I pray you, air, as you sit at dinner:",226
Act I,Scene II,Dromio Of Ephesus,I from my mistress come to you in post;,227
Act I,Scene II,Dromio Of Ephesus,"If I return, I shall be post indeed,",228
Act I,Scene II,Dromio Of Ephesus,For she will score your fault upon my pate.,229
Act I,Scene II,Dromio Of Ephesus,"Methinks your maw, like mine, should be your clock,",230
Act I,Scene II,Dromio Of Ephesus,And strike you home without a messenger.,231
Act I,Scene II,Dromio Of Ephesus,ANTIPHOLUS,232
Act I,Scene II,Of Syracuse,"Come, Dromio, come, these jests are out of season;",233
Act I,Scene II,Of Syracuse,Reserve them till a merrier hour than this.,234
