line,stanza,line_number
"Her eyes woo'd still, his eyes disdain'd the wooing:",61,364
And all this dumb play had his acts made plain,61,365
"With tears, which, chorus-like, her eyes did rain.",61,366
"Full gently now she takes him by the hand,",62,367
"A lily prison'd in a gaol of snow,",62,368
Or ivory in an alabaster band;,62,369
So white a friend engirts so white a foe:,62,370
"This beauteous combat, wilful and unwilling,",62,371
Show'd like two silver doves that sit a-billing.,62,372
Once more the engine of her thoughts began:,63,373
"'O fairest mover on this mortal round,",63,374
"Would thou wert as I am, and I a man,",63,375
"My heart all whole as thine, thy heart my wound;",63,376
"For one sweet look thy help I would assure thee,",63,377
Though nothing but my body's bane would cure thee!,63,378
"'Give me my hand,' saith he, 'why dost thou feel it?'",64,379
"'Give me my heart,' saith she, 'and thou shalt have it:",64,380
"O, give it me, lest thy hard heart do steel it,",64,381
"And being steel'd, soft sighs can never grave it:",64,382
"Then love's deep groans I never shall regard,",64,383
Because Adonis' heart hath made mine hard.',64,384
"'For shame,' he cries, 'let go, and let me go;",65,385
"My day's delight is past, my horse is gone,",65,386
And 'tis your fault I am bereft him so:,65,387
"I pray you hence, and leave me here alone;",65,388
"For all my mind, my thought, my busy care,",65,389
Is how to get my palfrey from the mare.',65,390
"Thus she replies: 'Thy palfrey, as he should,",66,391
Welcomes the warm approach of sweet desire:,66,392
Affection is a coal that must be cool'd;,66,393
"Else, suffer'd, it will set the heart on fire:",66,394
"The sea hath bounds, but deep desire hath none;",66,395
Therefore no marvel though thy horse be gone.,66,396
"'How like a jade he stood, tied to the tree,",67,397
Servilely master'd with a leathern rein!,67,398
"But when he saw his love, his youth's fair fee,",67,399
He held such petty bondage in disdain;,67,400
"Throwing the base thong from his bending crest,",67,401
"Enfranchising his mouth, his back, his breast.",67,402
"'Who sees his true-love in her naked bed,",68,403
"Teaching the sheets a whiter hue than white,",68,404
"But, when his glutton eye so full hath fed,",68,405
His other agents aim at like delight?,68,406
"Who is so faint, that dare not be so bold",68,407
"To touch the fire, the weather being cold?",68,408
"'Let me excuse thy courser, gentle boy;",69,409
"And learn of him, I heartily beseech thee,",69,410
To take advantage on presented joy;,69,411
"Though I were dumb, yet his proceedings teach thee;",69,412
"O, learn to love; the lesson is but plain,",69,413
"And once made perfect, never lost again.'",69,414
"I know not love,' quoth he, 'nor will not know it,",70,415
"Unless it be a boar, and then I chase it;",70,416
"'Tis much to borrow, and I will not owe it;",70,417
My love to love is love but to disgrace it;,70,418
"For I have heard it is a life in death,",70,419
"That laughs and weeps, and all but with a breath.",70,420
'Who wears a garment shapeless and unfinish'd?,71,421
Who plucks the bud before one leaf put forth?,71,422
"If springing things be any jot diminish'd,",71,423
"They wither in their prime, prove nothing worth:",71,424
The colt that's back'd and burden'd being young,71,425
Loseth his pride and never waxeth strong.,71,426
"'You hurt my hand with wringing; let us part,",72,427
"And leave this idle theme, this bootless chat:",72,428
Remove your siege from my unyielding heart;,72,429
To love's alarms it will not ope the gate:,72,430
"Dismiss your vows, your feigned tears, your flattery;",72,431
For where a heart is hard they make no battery.',72,432
"'What! canst thou talk?' quoth she, 'hast thou a tongue?",73,433
"O, would thou hadst not, or I had no hearing!",73,434
Thy mermaid's voice hath done me double wrong;,73,435
"I had my load before, now press'd with bearing:",73,436
"Melodious discord, heavenly tune harshsounding,",73,437
"Ear's deep-sweet music, and heart's deep-sore wounding.",73,438
"'Had I no eyes but ears, my ears would love",74,439
That inward beauty and invisible;,74,440
"Or were I deaf, thy outward parts would move",74,441
Each part in me that were but sensible:,74,442
"Though neither eyes nor ears, to hear nor see,",74,443
Yet should I be in love by touching thee.,74,444
"'Say, that the sense of feeling were bereft me,",75,445
"And that I could not see, nor hear, nor touch,",75,446
"And nothing but the very smell were left me,",75,447
Yet would my love to thee be still as much;,75,448
For from the stillitory of thy face excelling,75,449
Comes breath perfumed that breedeth love by,75,450
smelling.,75,451
"'But, O, what banquet wert thou to the taste,",76,452
Being nurse and feeder of the other four!,76,453
"Would they not wish the feast might ever last,",76,454
"And bid Suspicion double-lock the door,",76,455
"Lest Jealousy, that sour unwelcome guest,",76,456
"Should, by his stealing in, disturb the feast?'",76,457
"Once more the ruby-colour'd portal open'd,",77,458
Which to his speech did honey passage yield;,77,459
"Like a red morn, that ever yet betoken'd",77,460
"Wreck to the seaman, tempest to the field,",77,461
"Sorrow to shepherds, woe unto the birds,",77,462
Gusts and foul flaws to herdmen and to herds.,77,463
This ill presage advisedly she marketh:,78,464
"Even as the wind is hush'd before it raineth,",78,465
"Or as the wolf doth grin before he barketh,",78,466
"Or as the berry breaks before it staineth,",78,467
"Or like the deadly bullet of a gun,",78,468
His meaning struck her ere his words begun.,78,469
"And at his look she flatly falleth down,",79,470
For looks kill love and love by looks reviveth;,79,471
A smile recures the wounding of a frown;,79,472
"But blessed bankrupt, that by love so thriveth!",79,473
"The silly boy, believing she is dead,",79,474
"Claps her pale cheek, till clapping makes it red;",79,475
"And all amazed brake off his late intent,",80,476
"For sharply he did think to reprehend her,",80,477
Which cunning love did wittily prevent:,80,478
Fair fall the wit that can so well defend her!,80,479
"For on the grass she lies as she were slain,",80,480
Till his breath breatheth life in her again.,80,481
"He wrings her nose, he strikes her on the cheeks,",81,482
"He bends her fingers, holds her pulses hard,",81,483
He chafes her lips; a thousand ways he seeks,81,484
To mend the hurt that his unkindness marr'd:,81,485
"He kisses her; and she, by her good will,",81,486
"Will never rise, so he will kiss her still.",81,487
The night of sorrow now is turn'd to day:,82,488
"Her two blue windows faintly she up-heaveth,",82,489
"Like the fair sun, when in his fresh array",82,490
He cheers the morn and all the earth relieveth;,82,491
"And as the bright sun glorifies the sky,",82,492
So is her face illumined with her eye;,82,493
"Whose beams upon his hairless face are fix'd,",83,494
As if from thence they borrow'd all their shine.,83,495
"Were never four such lamps together mix'd,",83,496
Had not his clouded with his brow's repine;,83,497
"But hers, which through the crystal tears gave light,",83,498
Shone like the moon in water seen by night.,83,499
"'O, where am I?' quoth she, 'in earth or heaven,",84,500
"Or in the ocean drench'd, or in the fire?",84,501
What hour is this? or morn or weary even?,84,502
"Do I delight to die, or life desire?",84,503
"But now I lived, and life was death's annoy;",84,504
"But now I died, and death was lively joy.",84,505
"'O, thou didst kill me: kill me once again:",85,506
"Thy eyes' shrewd tutor, that hard heart of thine,",85,507
Hath taught them scornful tricks and such disdain,85,508
That they have murder'd this poor heart of mine;,85,509
"And these mine eyes, true leaders to their queen,",85,510
But for thy piteous lips no more had seen.,85,511
"'Long may they kiss each other, for this cure!",86,512
"O, never let their crimson liveries wear!",86,513
"And as they last, their verdure still endure,",86,514
To drive infection from the dangerous year!,86,515
"That the star-gazers, having writ on death,",86,516
"May say, the plague is banish'd by thy breath.",86,517
"'Pure lips, sweet seals in my soft lips imprinted,",87,518
"What bargains may I make, still to be sealing?",87,519
"To sell myself I can be well contented,",87,520
So thou wilt buy and pay and use good dealing;,87,521
"Which purchase if thou make, for fear of slips",87,522
Set thy seal-manual on my wax-red lips.,87,523
'A thousand kisses buys my heart from me;,88,524
"And pay them at thy leisure, one by one.",88,525
What is ten hundred touches unto thee?,88,526
Are they not quickly told and quickly gone?,88,527
"Say, for non-payment that the debt should double,",88,528
Is twenty hundred kisses such a trouble?,88,529
"'Fair queen,' quoth he, 'if any love you owe me,",89,530
Measure my strangeness with my unripe years:,89,531
"Before I know myself, seek not to know me;",89,532
No fisher but the ungrown fry forbears:,89,533
"The mellow plum doth fall, the green sticks fast,",89,534
Or being early pluck'd is sour to taste.,89,535
"'Look, the world's comforter, with weary gait,",90,536
His day's hot task hath ended in the west;,90,537
"The owl, night's herald, shrieks, ''Tis very late;'",90,538
"The sheep are gone to fold, birds to their nest,",90,539
And coal-black clouds that shadow heaven's light,90,540
Do summon us to part and bid good night.,90,541
"'Now let me say 'Good night,' and so say you;",91,542
"If you will say so, you shall have a kiss.'",91,543
"'Good night,' quoth she, and, ere he says 'Adieu,'",91,544
The honey fee of parting tender'd is:,91,545
Her arms do lend his neck a sweet embrace;,91,546
Incorporate then they seem; face grows to face.,91,547
"Till, breathless, he disjoin'd, and backward drew",92,548
"The heavenly moisture, that sweet coral mouth,",92,549
"Whose precious taste her thirsty lips well knew,",92,550
"Whereon they surfeit, yet complain on drouth:",92,551
"He with her plenty press'd, she faint with dearth",92,552
"Their lips together glued, fall to the earth.",92,553
"Now quick desire hath caught the yielding prey,",93,554
"And glutton-like she feeds, yet never filleth;",93,555
"Her lips are conquerors, his lips obey,",93,556
Paying what ransom the insulter willeth;,93,557
"Whose vulture thought doth pitch the price so high,",93,558
That she will draw his lips' rich treasure dry:,93,559
"And having felt the sweetness of the spoil,",94,560
With blindfold fury she begins to forage;,94,561
"Her face doth reek and smoke, her blood doth boil,",94,562
"And careless lust stirs up a desperate courage,",94,563
"Planting oblivion, beating reason back,",94,564
Forgetting shame's pure blush and honour's wrack.,94,565
"Hot, faint, and weary, with her hard embracing,",95,566
"Like a wild bird being tamed with too much handling,",95,567
"Or as the fleet-foot roe that's tired with chasing,",95,568
"Or like the froward infant still'd with dandling,",95,569
"He now obeys, and now no more resisteth,",95,570
"While she takes all she can, not all she listeth.",95,571
"What wax so frozen but dissolves with tempering,",96,572
And yields at last to every light impression?,96,573
"Things out of hope are compass'd oft with venturing,",96,574
"Chiefly in love, whose leave exceeds commission:",96,575
"Affection faints not like a pale-faced coward,",96,576
But then woos best when most his choice is froward.,96,577
"When he did frown, O, had she then gave over,",97,578
Such nectar from his lips she had not suck'd.,97,579
Foul words and frowns must not repel a lover;,97,580
"What though the rose have prickles, yet 'tis pluck'd:",97,581
"Were beauty under twenty locks kept fast,",97,582
Yet love breaks through and picks them all at last.,97,583
For pity now she can no more detain him;,98,584
The poor fool prays her that he may depart:,98,585
She is resolved no longer to restrain him;,98,586
"Bids him farewell, and look well to her heart,",98,587
"The which, by Cupid's bow she doth protest,",98,588
He carries thence incaged in his breast.,98,589
"'Sweet boy,' she says, 'this night I'll waste in sorrow,",99,590
For my sick heart commands mine eyes to watch.,99,591
"Tell me, Love's master, shall we meet to-morrow?",99,592
"Say, shall we? shall we? wilt thou make the match?'",99,593
"He tells her, no; to-morrow he intends",99,594
To hunt the boar with certain of his friends.,99,595
"'The boar!' quoth she; whereat a sudden pale,",100,596
"Like lawn being spread upon the blushing rose,",100,597
"Usurps her cheek; she trembles at his tale,",100,598
And on his neck her yoking arms she throws:,100,599
"She sinketh down, still hanging by his neck,",100,600
"He on her belly falls, she on her back.",100,601
"Now is she in the very lists of love,",101,602
Her champion mounted for the hot encounter:,101,603
"All is imaginary she doth prove,",101,604
"He will not manage her, although he mount her;",101,605
"That worse than Tantalus' is her annoy,",101,606
To clip Elysium and to lack her joy.,101,607
"Even as poor birds, deceived with painted grapes,",102,608
"Do surfeit by the eye and pine the maw,",102,609
"Even so she languisheth in her mishaps,",102,610
As those poor birds that helpless berries saw.,102,611
The warm effects which she in him finds missing,102,612
She seeks to kindle with continual kissing.,102,613
"But all in vain; good queen, it will not be:",103,614
She hath assay'd as much as may be proved;,103,615
Her pleading hath deserved a greater fee;,103,616
"She's Love, she loves, and yet she is not loved.",103,617
"'Fie, fie,' he says, 'you crush me; let me go;",103,618
You have no reason to withhold me so.',103,619
"'Thou hadst been gone,' quoth she, 'sweet boy, ere this,",104,620
But that thou told'st me thou wouldst hunt the boar.,104,621
"O, be advised! thou know'st not what it is",104,622
"With javelin's point a churlish swine to gore,",104,623
"Whose tushes never sheathed he whetteth still,",104,624
Like to a mortal butcher bent to kill.,104,625
'On his bow-back he hath a battle set,105,626
"Of bristly pikes, that ever threat his foes;",105,627
"His eyes, like glow-worms, shine when he doth fret;",105,628
His snout digs sepulchres where'er he goes;,105,629
"Being moved, he strikes whate'er is in his way,",105,630
And whom he strikes his cruel tushes slay.,105,631
"'His brawny sides, with hairy bristles arm'd,",106,632
Are better proof than thy spear's point can enter;,106,633
His short thick neck cannot be easily harm'd;,106,634
"Being ireful, on the lion he will venture:",106,635
