Title,Genre,URL,File
"XL. Take all my loves, my love, yea, take them all;",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.XL.html,sonnetXL
"XLI. Those petty wrongs that liberty commits,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.XLI.html,sonnetXLI
"XLII. That thou hast her, it is not all my grief,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.XLII.html,sonnetXLII
"XLIII. When most I wink, then do mine eyes best see,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.XLIII.html,sonnetXLIII
"XLIV. If the dull substance of my flesh were thought,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.XLIV.html,sonnetXLIV
"XLV. The other two, slight air and purging fire,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.XLV.html,sonnetXLV
XLVI. Mine eye and heart are at a mortal war,Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.XLVI.html,sonnetXLVI
"XLVII. Betwixt mine eye and heart a league is took,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.XLVII.html,sonnetXLVII
"XLVIII. How careful was I, when I took my way,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.XLVIII.html,sonnetXLVIII
"XLIX. Against that time, if ever that time come,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.XLIX.html,sonnetXLIX
"L. How heavy do I journey on the way,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.L.html,sonnetL
LI. Thus can my love excuse the slow offence,Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.LI.html,sonnetLI
"LII. So am I as the rich, whose blessed key",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.LII.html,sonnetLII
"LIII. What is your substance, whereof are you made,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.LIII.html,sonnetLIII
"LIV. O, how much more doth beauty beauteous seem",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.LIV.html,sonnetLIV
"LV. Not marble, nor the gilded monuments",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.LV.html,sonnetLV
"LVI. Sweet love, renew thy force; be it not said",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.LVI.html,sonnetLVI
"LVII. Being your slave, what should I do but tend",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.LVII.html,sonnetLVII
"LVIII. That god forbid that made me first your slave,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.LVIII.html,sonnetLVIII
"LIX. If there be nothing new, but that which is",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.LIX.html,sonnetLIX
"LX. Like as the waves make towards the pebbled shore,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.LX.html,sonnetLX
LXI. Is it thy will thy image should keep open,Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.LXI.html,sonnetLXI
LXII. Sin of self-love possesseth all mine eye,Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.LXII.html,sonnetLXII
"LXIII. Against my love shall be, as I am now,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.LXIII.html,sonnetLXIII
LXIV. When I have seen by Time's fell hand defaced,Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.LXIV.html,sonnetLXIV
"LXV. Since brass, nor stone, nor earth, nor boundless sea,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.LXV.html,sonnetLXV
"LXVI. Tired with all these, for restful death I cry,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.LXVI.html,sonnetLXVI
"LXVII. Ah! wherefore with infection should he live,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.LXVII.html,sonnetLXVII
"LXVIII. Thus is his cheek the map of days outworn,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.LXVIII.html,sonnetLXVIII
LXIX. Those parts of thee that the world's eye doth view,Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.LXIX.html,sonnetLXIX
"LXX. That thou art blamed shall not be thy defect,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.LXX.html,sonnetLXX
LXXI. No longer mourn for me when I am dead,Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.LXXI.html,sonnetLXXI
"LXXII. O, lest the world should task you to recite",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.LXXII.html,sonnetLXXII
LXXIII. That time of year thou mayst in me behold,Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.LXXIII.html,sonnetLXXIII
LXXIV. But be contented: when that fell arrest,Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.LXXIV.html,sonnetLXXIV
"LXXV. So are you to my thoughts as food to life,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.LXXV.html,sonnetLXXV
"LXXVI. Why is my verse so barren of new pride,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.LXXVI.html,sonnetLXXVI
"LXXVII. Thy glass will show thee how thy beauties wear,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.LXXVII.html,sonnetLXXVII
LXXVIII. So oft have I invoked thee for my Muse,Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.LXXVIII.html,sonnetLXXVIII
"LXXIX. Whilst I alone did call upon thy aid,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.LXXIX.html,sonnetLXXIX
"LXXX. O, how I faint when I of you do write,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.LXXX.html,sonnetLXXX
"LXXXI. Or I shall live your epitaph to make,",Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.LXXXI.html,sonnetLXXXI
LXXXII. I grant thou wert not married to my Muse,Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.LXXXII.html,sonnetLXXXII
LXXXIII. I never saw that you did painting need,Sonnet,https://shakespeare.mit.edu/Poetry/sonnet.LXXXIII.html,sonnetLXXXIII
