act,scene,character,dialogue,line_number
Act I,Scene I,Bastard,To whom am I beholding for these limbs?,241
Act I,Scene I,Bastard,Sir Robert never holp to make this leg.,242
Act I,Scene I,Lady Faulconbridge,"Hast thou conspired with thy brother too,",243
Act I,Scene I,Lady Faulconbridge,That for thine own gain shouldst defend mine honour?,244
Act I,Scene I,Lady Faulconbridge,"What means this scorn, thou most untoward knave?",245
Act I,Scene I,Bastard,"Knight, knight, good mother, Basilisco-like.",246
Act I,Scene I,Bastard,What! I am dubb'd! I have it on my shoulder.,247
Act I,Scene I,Bastard,"But, mother, I am not sir Robert's son;",248
Act I,Scene I,Bastard,I have disclaim'd sir Robert and my land;,249
Act I,Scene I,Bastard,"Legitimation, name and all is gone:",250
Act I,Scene I,Bastard,"Then, good my mother, let me know my father;",251
Act I,Scene I,Bastard,"Some proper man, I hope: who was it, mother?",252
Act I,Scene I,Lady Faulconbridge,Hast thou denied thyself a Faulconbridge?,253
Act I,Scene I,Bastard,As faithfully as I deny the devil.,254
Act I,Scene I,Lady Faulconbridge,King Richard Coeur-de-lion was thy father:,255
Act I,Scene I,Lady Faulconbridge,By long and vehement suit I was seduced,256
Act I,Scene I,Lady Faulconbridge,To make room for him in my husband's bed:,257
Act I,Scene I,Lady Faulconbridge,Heaven lay not my transgression to my charge!,258
Act I,Scene I,Lady Faulconbridge,"Thou art the issue of my dear offence,",259
Act I,Scene I,Lady Faulconbridge,Which was so strongly urged past my defence.,260
Act I,Scene I,Bastard,"Now, by this light, were I to get again,",261
Act I,Scene I,Bastard,"Madam, I would not wish a better father.",262
Act I,Scene I,Bastard,"Some sins do bear their privilege on earth,",263
Act I,Scene I,Bastard,And so doth yours; your fault was not your folly:,264
Act I,Scene I,Bastard,"Needs must you lay your heart at his dispose,",265
Act I,Scene I,Bastard,"Subjected tribute to commanding love,",266
Act I,Scene I,Bastard,Against whose fury and unmatched force,267
Act I,Scene I,Bastard,"The aweless lion could not wage the fight,",268
Act I,Scene I,Bastard,Nor keep his princely heart from Richard's hand.,269
Act I,Scene I,Bastard,He that perforce robs lions of their hearts,270
Act I,Scene I,Bastard,"May easily win a woman's. Ay, my mother,",271
Act I,Scene I,Bastard,With all my heart I thank thee for my father!,272
Act I,Scene I,Bastard,Who lives and dares but say thou didst not well,273
Act I,Scene I,Bastard,"When I was got, I'll send his soul to hell.",274
Act I,Scene I,Bastard,"Come, lady, I will show thee to my kin;",275
Act I,Scene I,Bastard,"And they shall say, when Richard me begot,",276
Act I,Scene I,Bastard,"If thou hadst said him nay, it had been sin:",277
Act I,Scene I,Bastard,"Who says it was, he lies; I say 'twas not.",278
Act I,Scene I,[stage direction],Exeunt,NA
Act II,Scene I,[stage direction],"Enter AUSTRIA and forces, drums, etc. on one side:  on the other KING PHILIP and his power; LEWIS, ARTHUR, CONSTANCE and attendants",NA
Act II,Scene I,Lewis,"Before Angiers well met, brave Austria.",279
Act II,Scene I,Lewis,"Arthur, that great forerunner of thy blood,",280
