act,scene,character,dialogue,line_number
Act I,Scene I,Don Pedro,invited you all. I tell him we shall stay here at,131
Act I,Scene I,Don Pedro,the least a month; and he heartily prays some,132
Act I,Scene I,Don Pedro,occasion may detain us longer. I dare swear he is no,133
Act I,Scene I,Don Pedro,"hypocrite, but prays from his heart.",134
Act I,Scene I,Leonato,"If you swear, my lord, you shall not be forsworn.",135
Act I,Scene I,[stage direction],To DON JOHN,NA
Act I,Scene I,Leonato,"Let me bid you welcome, my lord: being reconciled to",136
Act I,Scene I,Leonato,"the prince your brother, I owe you all duty.",137
Act I,Scene I,Don John,"I thank you: I am not of many words, but I thank",138
Act I,Scene I,Don John,you.,139
Act I,Scene I,Leonato,Please it your grace lead on?,140
Act I,Scene I,Don Pedro,"Your hand, Leonato; we will go together.",141
Act I,Scene I,[stage direction],Exeunt all except BENEDICK and CLAUDIO,NA
Act I,Scene I,Claudio,"Benedick, didst thou note the daughter of Signior Leonato?",142
Act I,Scene I,Benedick,I noted her not; but I looked on her.,143
Act I,Scene I,Claudio,Is she not a modest young lady?,144
Act I,Scene I,Benedick,"Do you question me, as an honest man should do, for",145
Act I,Scene I,Benedick,my simple true judgment; or would you have me speak,146
Act I,Scene I,Benedick,"after my custom, as being a professed tyrant to their sex?",147
Act I,Scene I,Claudio,No; I pray thee speak in sober judgment.,148
Act I,Scene I,Benedick,"Why, i' faith, methinks she's too low for a high",149
Act I,Scene I,Benedick,"praise, too brown for a fair praise and too little",150
Act I,Scene I,Benedick,for a great praise: only this commendation I can,151
Act I,Scene I,Benedick,"afford her, that were she other than she is, she",152
Act I,Scene I,Benedick,"were unhandsome; and being no other but as she is, I",153
Act I,Scene I,Benedick,do not like her.,154
Act I,Scene I,Claudio,Thou thinkest I am in sport: I pray thee tell me,155
Act I,Scene I,Claudio,truly how thou likest her.,156
Act I,Scene I,Benedick,"Would you buy her, that you inquire after her?",157
Act I,Scene I,Claudio,Can the world buy such a jewel?,158
Act I,Scene I,Benedick,"Yea, and a case to put it into. But speak you this",159
Act I,Scene I,Benedick,"with a sad brow? or do you play the flouting Jack,",160
Act I,Scene I,Benedick,to tell us Cupid is a good hare-finder and Vulcan a,161
Act I,Scene I,Benedick,"rare carpenter? Come, in what key shall a man take",162
Act I,Scene I,Benedick,"you, to go in the song?",163
Act I,Scene I,Claudio,In mine eye she is the sweetest lady that ever I,164
Act I,Scene I,Claudio,looked on.,165
Act I,Scene I,Benedick,I can see yet without spectacles and I see no such,166
Act I,Scene I,Benedick,"matter: there's her cousin, an she were not",167
Act I,Scene I,Benedick,"possessed with a fury, exceeds her as much in beauty",168
Act I,Scene I,Benedick,as the first of May doth the last of December. But I,169
Act I,Scene I,Benedick,"hope you have no intent to turn husband, have you?",170
Act I,Scene I,Claudio,"I would scarce trust myself, though I had sworn the",171
Act I,Scene I,Claudio,"contrary, if Hero would be my wife.",172
Act I,Scene I,Benedick,"Is't come to this? In faith, hath not the world",173
Act I,Scene I,Benedick,one man but he will wear his cap with suspicion?,174
Act I,Scene I,Benedick,Shall I never see a bachelor of three-score again?,175
Act I,Scene I,Benedick,"Go to, i' faith; an thou wilt needs thrust thy neck",176
Act I,Scene I,Benedick,"into a yoke, wear the print of it and sigh away",177
Act I,Scene I,Benedick,Sundays. Look Don Pedro is returned to seek you.,178
Act I,Scene I,[stage direction],Re-enter DON PEDRO,NA
Act I,Scene I,Don Pedro,"What secret hath held you here, that you followed",179
Act I,Scene I,Don Pedro,not to Leonato's?,180
Act I,Scene I,Benedick,I would your grace would constrain me to tell.,181
Act I,Scene I,Don Pedro,I charge thee on thy allegiance.,182
Act I,Scene I,Benedick,"You hear, Count Claudio: I can be secret as a dumb",183
Act I,Scene I,Benedick,"man; I would have you think so; but, on my",184
Act I,Scene I,Benedick,"allegiance, mark you this, on my allegiance. He is",185
Act I,Scene I,Benedick,in love. With who? now that is your grace's part.,186
Act I,Scene I,Benedick,"Mark how short his answer is;--With Hero, Leonato's",187
Act I,Scene I,Benedick,short daughter.,188
Act I,Scene I,Claudio,"If this were so, so were it uttered.",189
Act I,Scene I,Benedick,"Like the old tale, my lord: 'it is not so, nor",190
Act I,Scene I,Benedick,"'twas not so, but, indeed, God forbid it should be",191
Act I,Scene I,Benedick,so.',192
Act I,Scene I,Claudio,"If my passion change not shortly, God forbid it",193
Act I,Scene I,Claudio,should be otherwise.,194
Act I,Scene I,Don Pedro,"Amen, if you love her; for the lady is very well worthy.",195
Act I,Scene I,Claudio,"You speak this to fetch me in, my lord.",196
Act I,Scene I,Don Pedro,"By my troth, I speak my thought.",197
Act I,Scene I,Claudio,"And, in faith, my lord, I spoke mine.",198
Act I,Scene I,Benedick,"And, by my two faiths and troths, my lord, I spoke mine.",199
Act I,Scene I,Claudio,"That I love her, I feel.",200
Act I,Scene I,Don Pedro,"That she is worthy, I know.",201
Act I,Scene I,Benedick,That I neither feel how she should be loved nor,202
Act I,Scene I,Benedick,"know how she should be worthy, is the opinion that",203
Act I,Scene I,Benedick,fire cannot melt out of me: I will die in it at the stake.,204
Act I,Scene I,Don Pedro,Thou wast ever an obstinate heretic in the despite,205
Act I,Scene I,Don Pedro,of beauty.,206
Act I,Scene I,Claudio,And never could maintain his part but in the force,207
Act I,Scene I,Claudio,of his will.,208
