line,stanza,line_number
"I have received from many a several fair,",30,207
"Their kind acceptance weepingly beseech'd,",30,208
"With the annexions of fair gems enrich'd,",30,209
And deep-brain'd sonnets that did amplify,30,210
"Each stone's dear nature, worth, and quality.",30,211
"''The diamond,--why, 'twas beautiful and hard,",31,212
Whereto his invised properties did tend;,31,213
"The deep-green emerald, in whose fresh regard",31,214
Weak sights their sickly radiance do amend;,31,215
The heaven-hued sapphire and the opal blend,31,216
"With objects manifold: each several stone,",31,217
"With wit well blazon'd, smiled or made some moan.",31,218
"''Lo, all these trophies of affections hot,",32,219
"Of pensived and subdued desires the tender,",32,220
"Nature hath charged me that I hoard them not,",32,221
"But yield them up where I myself must render,",32,222
"That is, to you, my origin and ender;",32,223
"For these, of force, must your oblations be,",32,224
"Since I their altar, you enpatron me.",32,225
"''O, then, advance of yours that phraseless hand,",33,226
Whose white weighs down the airy scale of praise;,33,227
"Take all these similes to your own command,",33,228
Hallow'd with sighs that burning lungs did raise;,33,229
"What me your minister, for you obeys,",33,230
Works under you; and to your audit comes,33,231
Their distract parcels in combined sums.,33,232
"''Lo, this device was sent me from a nun,",34,233
"Or sister sanctified, of holiest note;",34,234
"Which late her noble suit in court did shun,",34,235
Whose rarest havings made the blossoms dote;,34,236
"For she was sought by spirits of richest coat,",34,237
"But kept cold distance, and did thence remove,",34,238
To spend her living in eternal love.,34,239
"''But, O my sweet, what labour is't to leave",35,240
"The thing we have not, mastering what not strives,",35,241
"Playing the place which did no form receive,",35,242
Playing patient sports in unconstrained gyves?,35,243
"She that her fame so to herself contrives,",35,244
"The scars of battle 'scapeth by the flight,",35,245
"And makes her absence valiant, not her might.",35,246
"''O, pardon me, in that my boast is true:",36,247
The accident which brought me to her eye,36,248
"Upon the moment did her force subdue,",36,249
And now she would the caged cloister fly:,36,250
Religious love put out Religion's eye:,36,251
"Not to be tempted, would she be immured,",36,252
"And now, to tempt, all liberty procured.",36,253
"''How mighty then you are, O, hear me tell!",37,254
The broken bosoms that to me belong,37,255
"Have emptied all their fountains in my well,",37,256
And mine I pour your ocean all among:,37,257
"I strong o'er them, and you o'er me being strong,",37,258
"Must for your victory us all congest,",37,259
As compound love to physic your cold breast.,37,260
"''My parts had power to charm a sacred nun,",38,261
"Who, disciplined, ay, dieted in grace,",38,262
"Believed her eyes when they to assail begun,",38,263
All vows and consecrations giving place:,38,264
"O most potential love! vow, bond, nor space,",38,265
"In thee hath neither sting, knot, nor confine,",38,266
"For thou art all, and all things else are thine.",38,267
"''When thou impressest, what are precepts worth",39,268
"Of stale example? When thou wilt inflame,",39,269
How coldly those impediments stand forth,39,270
"Of wealth, of filial fear, law, kindred, fame!",39,271
"Love's arms are peace, 'gainst rule, 'gainst sense,",39,272
"'gainst shame,",39,273
"And sweetens, in the suffering pangs it bears,",39,274
"The aloes of all forces, shocks, and fears.",39,275
"''Now all these hearts that do on mine depend,",40,276
"Feeling it break, with bleeding groans they pine;",40,277
"And supplicant their sighs to you extend,",40,278
"To leave the battery that you make 'gainst mine,",40,279
"Lending soft audience to my sweet design,",40,280
And credent soul to that strong-bonded oath,40,281
That shall prefer and undertake my troth.',40,282
"'This said, his watery eyes he did dismount,",41,283
Whose sights till then were levell'd on my face;,41,284
Each cheek a river running from a fount,41,285
With brinish current downward flow'd apace:,41,286
"O, how the channel to the stream gave grace!",41,287
Who glazed with crystal gate the glowing roses,41,288
That flame through water which their hue encloses.,41,289
"'O father, what a hell of witchcraft lies",42,290
In the small orb of one particular tear!,42,291
But with the inundation of the eyes,42,292
What rocky heart to water will not wear?,42,293
What breast so cold that is not warmed here?,42,294
"O cleft effect! cold modesty, hot wrath,",42,295
Both fire from hence and chill extincture hath.,42,296
"'For, lo, his passion, but an art of craft,",43,297
Even there resolved my reason into tears;,43,298
"There my white stole of chastity I daff'd,",43,299
Shook off my sober guards and civil fears;,43,300
"Appear to him, as he to me appears,",43,301
"All melting; though our drops this difference bore,",43,302
"His poison'd me, and mine did him restore.",43,303
"'In him a plenitude of subtle matter,",44,304
"Applied to cautels, all strange forms receives,",44,305
"Of burning blushes, or of weeping water,",44,306
"Or swooning paleness; and he takes and leaves,",44,307
"In either's aptness, as it best deceives,",44,308
"To blush at speeches rank to weep at woes,",44,309
Or to turn white and swoon at tragic shows.,44,310
'That not a heart which in his level came,45,311
"Could 'scape the hail of his all-hurting aim,",45,312
Showing fair nature is both kind and tame;,45,313
"And, veil'd in them, did win whom he would maim:",45,314
Against the thing he sought he would exclaim;,45,315
"When he most burn'd in heart-wish'd luxury,",45,316
"He preach'd pure maid, and praised cold chastity.",45,317
'Thus merely with the garment of a Grace,46,318
The naked and concealed fiend he cover'd;,46,319
"That th' unexperient gave the tempter place,",46,320
Which like a cherubin above them hover'd.,46,321
"Who, young and simple, would not be so lover'd?",46,322
Ay me! I fell; and yet do question make,46,323
What I should do again for such a sake.,46,324
"'O, that infected moisture of his eye,",47,325
"O, that false fire which in his cheek so glow'd,",47,326
"O, that forced thunder from his heart did fly,",47,327
"O, that sad breath his spongy lungs bestow'd,",47,328
"O, all that borrow'd motion seeming owed,",47,329
"Would yet again betray the fore-betray'd,",47,330
And new pervert a reconciled maid!',47,331
